0,1.502
0.001,1.497
0.002,1.497
0.003,1.497
0.004,1.497
0.005,1.497
0.006,1.497
0.007,1.497
0.008,1.502
0.009,1.673
0.01,1.673
0.011,1.673
0.012,1.673
0.013,1.673
0.014,1.678
0.015,1.668
0.016,1.668
0.017,1.668
0.018,1.668
0.019,1.668
0.02,1.663
0.021,1.663
0.022,1.663
0.023,1.673
0.024,1.673
0.025,1.673
0.026,1.712
0.027,1.712
0.028,1.712
0.029,1.712
0.03,1.712
0.031,1.712
0.032,1.712
0.033,1.712
0.034,1.712
0.035,1.707
0.036,1.712
0.037,1.707
0.038,1.707
0.039,1.707
0.04,1.707
0.041,1.712
0.042,1.502
0.043,1.497
0.044,1.502
0.045,1.502
0.046,1.502
0.047,1.502
0.048,1.492
0.049,1.497
0.05,1.497
0.051,1.497
0.052,1.492
0.053,1.492
0.054,1.492
0.055,1.502
0.056,1.502
0.057,1.502
0.058,1.521
0.059,1.521
0.06,1.521
0.061,1.521
0.062,1.521
0.063,1.521
0.064,1.526
0.065,1.521
0.066,1.521
0.067,1.521
0.068,1.521
0.069,1.521
0.07,1.521
0.071,1.521
0.072,1.521
0.073,1.521
0.074,1.521
0.075,1.712
0.076,1.707
0.077,1.712
0.078,1.712
0.079,1.712
0.08,1.712
0.081,1.707
0.082,1.707
0.083,1.707
0.084,1.702
0.085,1.702
0.086,1.697
0.087,1.707
0.088,1.712
0.089,1.712
0.09,1.707
0.091,1.707
0.092,1.673
0.093,1.673
0.094,1.678
0.095,1.673
0.096,1.673
0.097,1.678
0.098,1.673
0.099,1.673
0.1,1.668
0.101,1.668
0.102,1.673
0.103,1.673
0.104,1.668
0.105,1.673
0.106,1.673
0.107,1.673
0.108,1.482
0.109,1.482
0.11,1.482
0.111,1.482
0.112,1.482
0.113,1.482
0.114,1.477
0.115,1.477
0.116,1.477
0.117,1.477
0.118,1.473
0.119,1.473
0.12,1.482
0.121,1.487
0.122,1.482
0.123,1.482
0.124,1.482
0.125,1.56
0.126,1.56
0.127,1.56
0.128,1.56
0.129,1.56
0.13,1.56
0.131,1.556
0.132,1.556
0.133,1.556
0.134,1.556
0.135,1.556
0.136,1.556
0.137,1.556
0.138,1.556
0.139,1.556
0.14,1.56
0.141,1.731
0.142,1.731
0.143,1.736
0.144,1.731
0.145,1.731
0.146,1.731
0.147,1.726
0.148,1.726
0.149,1.726
0.15,1.726
0.151,1.717
0.152,1.731
0.153,1.731
0.154,1.736
0.155,1.731
0.156,1.731
0.157,1.731
0.158,1.639
0.159,1.634
0.16,1.634
0.161,1.639
0.162,1.634
0.163,1.639
0.164,1.634
0.165,1.634
0.166,1.634
0.167,1.639
0.168,1.634
0.169,1.634
0.17,1.634
0.171,1.634
0.172,1.634
0.173,1.639
0.174,1.482
0.175,1.482
0.176,1.482
0.177,1.482
0.178,1.482
0.179,1.482
0.18,1.477
0.181,1.477
0.182,1.477
0.183,1.473
0.184,1.473
0.185,1.482
0.186,1.487
0.187,1.487
0.188,1.477
0.189,1.482
0.19,1.482
0.191,1.595
0.192,1.595
0.193,1.595
0.194,1.6
0.195,1.6
0.196,1.6
0.197,1.595
0.198,1.595
0.199,1.595
0.2,1.59
0.201,1.59
0.202,1.595
0.203,1.595
0.204,1.595
0.205,1.595
0.206,1.595
0.207,1.731
0.208,1.731
0.209,1.736
0.21,1.731
0.211,1.731
0.212,1.736
0.213,1.731
0.214,1.726
0.215,1.726
0.216,1.717
0.217,1.736
0.218,1.736
0.219,1.736
0.22,1.736
0.221,1.731
0.222,1.731
0.223,1.736
0.224,1.575
0.225,1.58
0.226,1.58
0.227,1.58
0.228,1.58
0.229,1.575
0.23,1.575
0.231,1.575
0.232,1.575
0.233,1.575
0.234,1.575
0.235,1.575
0.236,1.575
0.237,1.575
0.238,1.575
0.239,1.575
0.24,1.482
0.241,1.482
0.242,1.482
0.243,1.482
0.244,1.482
0.245,1.482
0.246,1.477
0.247,1.477
0.248,1.473
0.249,1.482
0.25,1.482
0.251,1.487
0.252,1.487
0.253,1.468
0.254,1.482
0.255,1.482
0.256,1.482
0.257,1.653
0.258,1.658
0.259,1.658
0.26,1.653
0.261,1.658
0.262,1.653
0.263,1.653
0.264,1.653
0.265,1.653
0.266,1.653
0.267,1.653
0.268,1.653
0.269,1.648
0.27,1.653
0.271,1.653
0.272,1.653
0.273,1.731
0.274,1.731
0.275,1.731
0.276,1.736
0.277,1.731
0.278,1.736
0.279,1.726
0.28,1.717
0.281,1.726
0.282,1.731
0.283,1.736
0.284,1.736
0.285,1.736
0.286,1.731
0.287,1.731
0.288,1.731
0.289,1.731
0.29,1.541
0.291,1.541
0.292,1.541
0.293,1.541
0.294,1.541
0.295,1.541
0.296,1.541
0.297,1.541
0.298,1.541
0.299,1.536
0.3,1.536
0.301,1.536
0.302,1.541
0.303,1.536
0.304,1.541
0.305,1.541
0.306,1.502
0.307,1.502
0.308,1.497
0.309,1.502
0.31,1.502
0.311,1.502
0.312,1.497
0.313,1.492
0.314,1.502
0.315,1.502
0.316,1.502
0.317,1.507
0.318,1.497
0.319,1.497
0.32,1.502
0.321,1.502
0.322,1.502
0.323,1.673
0.324,1.673
0.325,1.673
0.326,1.673
0.327,1.673
0.328,1.678
0.329,1.673
0.33,1.673
0.331,1.673
0.332,1.668
0.333,1.673
0.334,1.673
0.335,1.673
0.336,1.673
0.337,1.673
0.338,1.673
0.339,1.692
0.34,1.692
0.341,1.692
0.342,1.692
0.343,1.692
0.344,1.692
0.345,1.687
0.346,1.692
0.347,1.697
0.348,1.697
0.349,1.702
